"Asset","Used","Context","SizeKB"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo.svg","True","FRONTEND","1,68"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\splash-screen.svg","True","FRONTEND","2,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\public\favicon.svg","True","FRONTEND","9,3"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\public\icons.svg","True","FRONTEND","4,91"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\hero.png","True","FRONTEND","12,75"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\react.svg","True","FRONTEND","4,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\vite.svg","True","FRONTEND","8,5"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\README.md","False","UNUSED","1"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","True","FRONTEND","10,68"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","True","FRONTEND","0,29"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","True","FRONTEND","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","True","FRONTEND","0,44"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","True","FRONTEND","0,28"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","True","FRONTEND","0,45"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","True","FRONTEND","0,69"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","True","FRONTEND","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","True","FRONTEND","0,57"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","True","FRONTEND","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","True","FRONTEND","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","True","FRONTEND","1,63"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","True","FRONTEND","0,74"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","True","FRONTEND","1,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","True","FRONTEND","1,38"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","True","FRONTEND","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","True","FRONTEND","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","True","FRONTEND","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","False","UNUSED","0,33"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\cookie_policy.md","True","FRONTEND","3,23"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\privacy_policy.md","True","FRONTEND","3,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\refund_policy.md","True","FRONTEND","2,66"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\terms_of_service.md","True","FRONTEND","3,67"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\cookie_policy.md","True","FRONTEND","3,62"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\privacy_policy.md","True","FRONTEND","4,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\refund_policy.md","True","FRONTEND","3,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\terms_of_service.md","True","FRONTEND","4,54"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\cookie_policy_en.md","False","UNUSED","8,18"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\cookie_policy_fr.md","False","UNUSED","8,76"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\privacy_policy_en.md","False","UNUSED","6,11"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\privacy_policy_fr.md","False","UNUSED","7,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\refund_policy_en.md","False","UNUSED","4,69"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\refund_policy_fr.md","False","UNUSED","5,13"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\terms_of_service_en.md","False","UNUSED","5,77"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\terms_of_service_fr.md","False","UNUSED","6,5"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","True","FRONTEND","0,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","True","FRONTEND","0,43"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","True","FRONTEND","0,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","True","FRONTEND","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","True","FRONTEND","1,41"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","True","FRONTEND","10,68"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","True","FRONTEND","0,29"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","True","FRONTEND","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","True","FRONTEND","0,44"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","True","FRONTEND","0,28"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","True","FRONTEND","0,45"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","True","FRONTEND","0,69"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","True","FRONTEND","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","True","FRONTEND","0,57"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","True","FRONTEND","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","True","FRONTEND","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","True","FRONTEND","1,63"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","True","FRONTEND","0,74"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","True","FRONTEND","1,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","True","FRONTEND","1,38"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","True","FRONTEND","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","True","FRONTEND","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","True","FRONTEND","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","False","UNUSED","0,33"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\linux\flutter\CMakeLists.txt","False","UNUSED","2,75"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\linux\CMakeLists.txt","False","UNUSED","3,59"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_1024.png","True","FRONTEND","100,58"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_128.png","True","FRONTEND","5,55"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_16.png","True","FRONTEND","0,51"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_256.png","True","FRONTEND","13,81"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_32.png","True","FRONTEND","1,04"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_512.png","True","FRONTEND","35,55"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_64.png","True","FRONTEND","2,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-192.png","True","FRONTEND","5,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-512.png","True","FRONTEND","8,06"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-maskable-192.png","True","FRONTEND","5,46"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-maskable-512.png","True","FRONTEND","20,51"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\favicon.png","True","FRONTEND","0,9"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\flutter\CMakeLists.txt","False","UNUSED","3,41"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\runner\resources\app_icon.ico","True","FRONTEND","32,98"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\runner\CMakeLists.txt","False","UNUSED","0,58"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\CMakeLists.txt","False","UNUSED","3,34"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\README.md","False","UNUSED","0,52"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\windows\CMakeLists.txt","False","UNUSED","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\CHANGELOG.md","False","UNUSED","19,82"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\README.md","False","UNUSED","7,58"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\flutter_secure_storage_linux\linux\CMakeLists.txt","False","UNUSED","1,11"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\flutter_secure_storage_linux\CHANGELOG.md","False","UNUSED","0,66"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\flutter_secure_storage_linux\README.md","False","UNUSED","0,42"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\android\README.md","False","UNUSED","0,15"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","True","FRONTEND","0,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","True","FRONTEND","0,43"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","True","FRONTEND","0,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","True","FRONTEND","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","True","FRONTEND","1,41"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\linux\flutter\CMakeLists.txt","False","UNUSED","2,75"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\linux\CMakeLists.txt","False","UNUSED","5,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_1024.png","True","FRONTEND","45,89"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_128.png","True","FRONTEND","3,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_16.png","True","FRONTEND","1,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_256.png","True","FRONTEND","5,79"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_32.png","True","FRONTEND","1,21"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_512.png","True","FRONTEND","14,45"
